SEQN,RIAGENDR,RIDAGEYR,RIDRETH3,RIDRETH1,RIDEXPRG,DMDEDUC2,DMDMARTZ,DMDBORN4,INDFMPIR,WTMECPRP,WTINTPRP,SDMVPSU,SDMVSTRA,gender,ethnicity,education,marital_status,pregnancy_status,country_of_birth
117885,2.0,41.0,1.0,1.0,2.0,4.0,1.0,2.0,,33615.680585,31595.036721,1.0,159.0,Female,Mexican American,Some college / AA,Married / Living with partner,Not pregnant,Born in Mexico
117923,2.0,41.0,3.0,3.0,2.0,2.0,1.0,1.0,1.61,24936.687,22111.936698,2.0,159.0,Female,Non-Hispanic White,9-11th grade,Married / Living with partner,Not pregnant,Born in 50 US states or DC
117931,2.0,44.0,6.0,5.0,2.0,4.0,1.0,2.0,4.52,10041.884154,9941.948595,1.0,155.0,Female,Non-Hispanic Asian,Some college / AA,Married / Living with partner,Not pregnant,Born in Mexico
117937,2.0,29.0,3.0,3.0,2.0,5.0,1.0,1.0,5.0,194644.930693,183256.617099,2.0,157.0,Female,Non-Hispanic White,College graduate or above,Married / Living with partner,Not pregnant,Born in 50 US states or DC
117941,2.0,33.0,6.0,5.0,2.0,2.0,1.0,2.0,1.02,9386.212088,9477.316542,2.0,170.0,Female,Non-Hispanic Asian,9-11th grade,Married / Living with partner,Not pregnant,Born in Mexico
117942,2.0,36.0,1.0,1.0,2.0,4.0,1.0,2.0,2.86,21076.198275,19821.090805,1.0,158.0,Female,Mexican American,Some college / AA,Married / Living with partner,Not pregnant,Born in Mexico
117946,2.0,38.0,1.0,1.0,2.0,4.0,1.0,2.0,1.45,27323.344517,25137.643022,1.0,162.0,Female,Mexican American,Some college / AA,Married / Living with partner,Not pregnant,Born in Mexico
117953,2.0,41.0,3.0,3.0,2.0,4.0,1.0,1.0,3.66,121433.405372,112378.4499,1.0,157.0,Female,Non-Hispanic White,Some college / AA,Married / Living with partner,Not pregnant,Born in 50 US states or DC
117966,2.0,26.0,6.0,5.0,2.0,4.0,1.0,2.0,2.43,10460.320977,9774.256832,1.0,170.0,Female,Non-Hispanic Asian,Some college / AA,Married / Living with partner,Not pregnant,Born in Mexico
117974,2.0,39.0,6.0,5.0,2.0,5.0,1.0,2.0,5.0,23951.658308,22060.684238,1.0,159.0,Female,Non-Hispanic Asian,College graduate or above,Married / Living with partner,Not pregnant,Born in Mexico
117985,2.0,40.0,6.0,5.0,3.0,5.0,1.0,2.0,5.0,5.397605346934028e-79,10933.514602,2.0,154.0,Female,Non-Hispanic Asian,College graduate or above,Married / Living with partner,Cannot determine,Born in Mexico
117990,2.0,34.0,6.0,5.0,2.0,3.0,1.0,2.0,,14207.589125,13564.656015,2.0,169.0,Female,Non-Hispanic Asian,High school / GED,Married / Living with partner,Not pregnant,Born in Mexico
117993,2.0,32.0,3.0,3.0,2.0,3.0,1.0,1.0,0.71,44524.555337,44420.758801,1.0,157.0,Female,Non-Hispanic White,High school / GED,Married / Living with partner,Not pregnant,Born in 50 US states or DC
117995,2.0,45.0,3.0,3.0,,5.0,1.0,1.0,5.0,5.397605346934028e-79,57456.493797,2.0,152.0,Female,Non-Hispanic White,College graduate or above,Married / Living with partner,,Born in 50 US states or DC
