SEQN,umap_x,umap_y
110509.0,17.980608,13.9765625
110510.0,4.345107,11.506792
110511.0,14.577135,9.058171
110512.0,15.43243,7.3390822
110514.0,18.388247,13.336705
110515.0,14.715401,13.867147
110518.0,4.3884306,11.731398
110520.0,16.873653,8.808881
110521.0,19.199463,7.149246
110522.0,19.49245,11.590391
110524.0,15.76961,13.44957
110526.0,19.216805,8.033676
110527.0,14.359084,11.964273
110528.0,16.91285,11.1278105
110529.0,4.5649576,10.959688
110530.0,19.816444,10.604274
110532.0,14.6863,13.056391
110535.0,16.787577,10.15278
110537.0,4.5018663,10.437451
110538.0,14.81039,11.627851
110540.0,16.789076,8.704274
110541.0,14.240813,8.630718
110543.0,16.980267,8.231736
110544.0,17.06583,13.2348175
110545.0,15.060923,10.070374
110546.0,17.055813,11.214726
110547.0,17.49885,10.383584
110548.0,16.866472,12.497855
110550.0,16.2214,10.807154
110551.0,17.687933,12.072513
110552.0,13.9515,11.837053
110553.0,16.604168,8.061819
110554.0,18.99437,8.300904
110555.0,9.149107,10.66891
110557.0,17.177595,10.041979
110558.0,18.594286,13.627079
110560.0,18.82638,9.078249
110565.0,13.265372,11.251196
110567.0,18.881027,9.190453
110569.0,15.479326,8.044691
